instructorContact,instructorLink,instructorName,instructorProf,instructorTotalReview,instructorTotalStudent
"https://www.ManzoorTheTrainer.com,https://www.facebook.com/trainer.manzoor,https://www.youtube.com/ManzoorthetrainerVideos",https://www.udemy.com/user/mohdmanzoorahmed/,Manzoor Ahmed,Microsoft Certified Trainer,8514,148420
"https://www.xelplus.com,https://twitter.com/LeilaGharani,https://linkedin.com/in/leila-gharani-6b12506?trk=hp-identity-name,https://www.youtube.com/channel/UCJtUOos_MwJa_Ewii-R3cJA",https://www.udemy.com/user/leila-gharani/,Leila Gharani,"Microsoft MVP, Bestselling Instructor",70281,228026
"https://www.myexcelonline.com/blog/,https://twitter.com/myexcelonline,https://www.facebook.com/groups/myexcelonline/,https://linkedin.com/in/johnmichaloudis,https://www.youtube.com/LearnExcelPivotTable/videos",https://www.udemy.com/user/john2373/,MyExcelOnline John Michaloudis,Chief Inspirational Officer at MyExcelOnline,5336,92116
na,https://www.udemy.com/user/intellezy/,na,na,0,0
"http://www.dataskills.co,https://twitter.com/DataSkillsCo,https://www.facebook.com/DataSkillsCo,https://linkedin.com/in/ianlj",https://www.udemy.com/user/ianlittlejohn2/,Ian Littlejohn,"Excel Power Tools, Power BI and Google Data Studio Trainer",42733,133098
na,https://www.udemy.com/user/ahamed-mohideen-ahamed-mohideen-mubeen/,A.M.A.M Mubeen (Expert In Tally & Finance & Microsoft Office),"200,000+ Students | 4+ Rated | 190 + Countries",4195,211252
"http://interviewmama.com,https://linkedin.com/in/sivanalavenakta",https://www.udemy.com/user/sivaprasad3/,Siva Prasad,SAP Trainer and Consultant,27982,109558
na,https://www.udemy.com/user/fredrick-higgins-3/,Fredrick Higgins,Senior Analytics BI Consultant at Accenture,1602,105649
"http://www.businessproductivity.com,https://twitter.com/ulrikahedlund,https://www.facebook.com/businessproductivity,https://linkedin.com/in/ulrikahedlund/,https://www.youtube.com/bizproductivity",https://www.udemy.com/user/businessproductivity/,Ulrika Hedlund,Productivity Coach and Entrepreneur,13525,43425
na,https://www.udemy.com/user/josh-werner/,Learn Tech Plus,Web Development | Adobe | Google | Microsoft | Productivity,37663,1296064
"http://blenderzen.com/,https://www.youtube.com/channel/UCZfHQRVjcPiE7CCDi80T_Gg",https://www.udemy.com/user/552582df2f464/,Thomas McDonald,"3D Artist, Designer & Animator",6902,80306
"https://www.crondose.com/,https://twitter.com/jordanhudgens,https://www.facebook.com/bottegaschool,https://linkedin.com/jordan-hudgens-37442b74,https://www.youtube.com/edutechional",https://www.udemy.com/user/jordanhudgens/,Jordan Hudgens,CTO at Bottega Code School,15370,73545
"http://www.simonsezit.com,https://twitter.com/simonsezit,https://www.facebook.com/SimonSezIT,https://linkedin.com//company/simon-sez-it,https://www.youtube.com/simonsezittraining",https://www.udemy.com/user/simonsezit/,Simon Sez IT,"490,000+ Students | Wordwide Use 180 Countries |150+ Courses",57246,518826
na,https://www.udemy.com/user/7aacd1a1-2931-40c8-8f8c-069e1575a35d/,BrainTree Learning,Business Training,4639,11541
https://twitter.com/abdelfattahben,https://www.udemy.com/user/fettah/,Fettah Ben,"Microsoft ADFS, IT Manager.",7430,110455
"https://virtualskills.teachable.com/,https://www.facebook.com/Themoneyguy-107384610893443/?modal=admin_todo_tour,https://linkedin.com/in/yassin-marco-241619164,https://www.youtube.com/channel/UC_R0QOzc9LiIiFb31GQPjPQ?sub_confirmation=1",https://www.udemy.com/user/ataouyl-yassin/,Yassin Marco,Helped over 1 100 000+ students in 198 countries,32496,1006070
"http://www.simonsezit.com,https://twitter.com/simonsezit,https://www.facebook.com/SimonSezIT,https://linkedin.com//company/simon-sez-it,https://www.youtube.com/simonsezittraining",https://www.udemy.com/user/simonsezit/,Simon Sez IT,"490,000+ Students | Wordwide Use 180 Countries |150+ Courses",57246,518826
"http://www.adamtheautomator.com,https://twitter.com/adbertram,https://linkedin.com/in/adambertram/,https://www.youtube.com/channel/UCH2s99kNN5m3_wXQ245OqsA",https://www.udemy.com/user/adambertram/,Adam Bertram,Microsoft PowerShell MVP,802,6417
na,https://www.udemy.com/user/ahamed-mohideen-ahamed-mohideen-mubeen/,A.M.A.M Mubeen (Expert In Tally & Finance & Microsoft Office),"200,000+ Students | 4+ Rated | 190 + Countries",4195,211252
"https://gcomsolutions.co.uk,https://twitter.com/gamblecompsol,https://www.facebook.com/grantleygamble,https://linkedin.com/in/grantleygamble/,https://www.youtube.com/user/gcscomputertraining",https://www.udemy.com/user/grantgamble/,Grant Gamble,"Developer, trainer and author",5054,65385
na,https://www.udemy.com/user/josh-werner/,Learn Tech Plus,Web Development | Adobe | Google | Microsoft | Productivity,37663,1296064
"https://inspirearun.com,https://twitter.com/inspirearun,https://www.facebook.com/groups/1684162091865678/,https://linkedin.com/in/arun-nagarathanam-66121b26,https://www.youtube.com/c/InspirearunBlogspot?sub_confirmation=1",https://www.udemy.com/user/arun-nagarathanam/,Arun Nagarathanam,Digital Marketing Executive. SEO expert,18217,151956
https://www.youtube.com/channel/UCQRKZIhygTNRPTEmbWQ7LXg,https://www.udemy.com/user/jedguinto/,Jed Guinto,"~445,000 Enrolments, ~185,000 Students, ~12,000 Reviews",13016,194092
"http://www.businessproductivity.com,https://twitter.com/ulrikahedlund,https://www.facebook.com/businessproductivity,https://linkedin.com/in/ulrikahedlund/,https://www.youtube.com/bizproductivity",https://www.udemy.com/user/businessproductivity/,Ulrika Hedlund,Productivity Coach and Entrepreneur,13525,43425
na,https://www.udemy.com/user/navin-soneja-2/,Navin Soneja,Entrepreneur and Mentor,1347,71319
"http://www.qbadvantage.com,https://twitter.com/quickbooksteach,https://www.facebook.com/qbadvantage,https://linkedin.com/in/qbadvantage",https://www.udemy.com/user/susan-ansell-3/,Susan Ansell,Advanced Certified QuickBooks ProAdvisor and Accounant,689,2395
"http://365careers.com/,https://twitter.com/365careers,https://www.facebook.com/365careers,https://linkedin.com/in/nedkokrastev/",https://www.udemy.com/user/365careers/,365 Careers,Creating opportunities for Business & Finance students,467330,1582600
"https://twitter.com/sciencebum,https://www.facebook.com/alexmozes,https://linkedin.com/in/alexmozes",https://www.udemy.com/user/alexmozes/,Alex Mozes,Instructor Liaison,11519,43032
na,https://www.udemy.com/user/intellezy/,na,na,0,0
"https://learn.mikewheelermedia.com,https://twitter.com/mwheelermedia,https://www.facebook.com/groups/MikeWheelerMedia/,https://linkedin.com/in/wheelermike,https://www.youtube.com/mikewheelermedia?sub_confirmation=1",https://www.udemy.com/user/mike-wheeler-5/,Mike Wheeler,"Salesforce Trainer - 150,000+ Students - 28K+ 5-Star Reviews",43276,152914
na,https://www.udemy.com/user/josh-werner/,Learn Tech Plus,Web Development | Adobe | Google | Microsoft | Productivity,37663,1296064
"https://excelmacromastery.com/,https://twitter.com/@MacroMastery,https://www.facebook.com/ExcelMacroMastery,https://www.youtube.com/c/Excelmacromastery",https://www.udemy.com/user/54ad88599f230/,Paul Kelly,"Instructor, Professional Software Developer",1278,7911
"http://www.saptraininghq.com,https://twitter.com/petermoxon,https://www.facebook.com/pages/SAP-Training-HQ/253124688062603",https://www.udemy.com/user/petermoxon/,Peter Moxon,Head Trainer at Sap Training HQ,14122,60834
http://www.sqltutorial.xyz,https://www.udemy.com/user/amarnathrpanyam/,Amarnath Reddy,Oracle Architect & Best Selling Instructor | 27000+ Students,18507,80677
na,https://www.udemy.com/user/intellezy/,na,na,0,0
"http://www.simonsezit.com,https://twitter.com/simonsezit,https://www.facebook.com/SimonSezIT,https://linkedin.com//company/simon-sez-it,https://www.youtube.com/simonsezittraining",https://www.udemy.com/user/simonsezit/,Simon Sez IT,"490,000+ Students | Wordwide Use 180 Countries |150+ Courses",57246,518826
"https://www.xelplus.com,https://twitter.com/LeilaGharani,https://linkedin.com/in/leila-gharani-6b12506?trk=hp-identity-name,https://www.youtube.com/channel/UCJtUOos_MwJa_Ewii-R3cJA",https://www.udemy.com/user/leila-gharani/,Leila Gharani,"Microsoft MVP, Bestselling Instructor",70281,228026
na,https://www.udemy.com/user/farrukhzaheer/,Farrukh Zaheer,SAP MM LE EDI Consultant,761,3651
"http://www.teachack.com,https://twitter.com/DrgStefanescu,https://www.facebook.com/teachack,https://linkedin.com/in/drgstefanescu,https://www.youtube.com//c/TeacHackUdemy?sub_confirmation=1",https://www.udemy.com/user/teachack/,Dragos Stefanescu,"Founder at TeacHack.com |15 Courses & 15,000+ Students",3723,50246
"http://www.businessproductivity.com,https://twitter.com/ulrikahedlund,https://www.facebook.com/businessproductivity,https://linkedin.com/in/ulrikahedlund/,https://www.youtube.com/bizproductivity",https://www.udemy.com/user/businessproductivity/,Ulrika Hedlund,Productivity Coach and Entrepreneur,13525,43425
http://dataminded.co.uk,https://www.udemy.com/user/martynblythin/,Martyn Blythin,"Data Minded Excel Training, 30,000+ students",2155,31452
na,https://www.udemy.com/user/mortenreyes/,Black Sheep Studios,tech geeks,1213,8048
"https://www.heartmindway.com/,https://twitter.com/@Todd_McLeod,https://linkedin.com/in/tamcleod,https://www.youtube.com/user/toddmcleod",https://www.udemy.com/user/toddmcleod/,Todd McLeod,Tenured College Professor,51844,342184
"https://www.crondose.com/,https://twitter.com/jordanhudgens,https://www.facebook.com/bottegaschool,https://linkedin.com/jordan-hudgens-37442b74,https://www.youtube.com/edutechional",https://www.udemy.com/user/jordanhudgens/,Jordan Hudgens,CTO at Bottega Code School,15370,73545
"http://www.learnsmartsystems.com,https://twitter.com/learnsmart,https://www.facebook.com/LearnSmart,https://linkedin.com/in/learnsmart,https://www.youtube.com/LearnSmartSystems",https://www.udemy.com/user/learnsmart/,LearnSmart LLC,Smarter Training. Never Open a Textbook.,19315,157774
"https://twitter.com/IbrahimThoth,https://www.facebook.com/profile.php?id=100005600928168",https://www.udemy.com/user/ibrahim-isaac/,Ibrahim Isaac,"Civil Engineering ,Computer science and programming student",543,24341
"http://www.mosuniversity.com,https://www.facebook.com/SucceedFirstTime,https://linkedin.com/in/david-murphy-b6598b46,https://www.youtube.com/channel/UCV4WxndgYuv59kWXADbDd5g",https://www.udemy.com/user/dave-murphy-4/,Dave Murphy,University Lecturer,3151,12571
"http://escapetoprosperity.com,https://www.facebook.com/bruce.myron.3,https://linkedin.com/in/brucemyron",https://www.udemy.com/user/brucemyron/,Bruce Myron,Productivity Specialist,23665,114277
"https://www.islamicacademyonline.com,https://www.facebook.com/islamicacademyonline,https://www.youtube.com/islamicacademyonline",https://www.udemy.com/user/jawad-abdul-mateen/,Jawad Abdul Mateen,Islamic Academy of Communication Arts,791,19755
"http://www.learnitanytime.com/,https://www.facebook.com/Learn.iT.anywhere,https://www.youtube.com/channel/UCqyBfm_H9ugGirk1ufYA2YA",https://www.udemy.com/user/learnitanytime/,Learnit Anytime,Self-Paced Online Training Videos,7695,26272
na,https://www.udemy.com/user/6e28a4ed-f9e4-4fb8-a076-ad9b60ac2b5c/,Jack Singh,Microsoft Certified SharePoint Professional,545,6112
"http://www.nutsandboltsspeedtraining.com,https://twitter.com/Nuts_BoltsPPT,https://www.facebook.com/nutsandboltsppt,https://www.youtube.com/ppptspeed",https://www.udemy.com/user/taylorcroonquist/,Taylor Croonquist,PowerPoint Speed Trainer,2683,14459
"http://www.zenithsoftsol.com,https://www.facebook.com/pages/Zenith-Software-Solutions-Inc/299624240185542",https://www.udemy.com/user/ahmed538/,Trainer Inc,Certified Realtime IT Trainers,1503,6726
"http://www.saptraininghq.com,https://twitter.com/petermoxon,https://www.facebook.com/pages/SAP-Training-HQ/253124688062603",https://www.udemy.com/user/petermoxon/,Peter Moxon,Head Trainer at Sap Training HQ,14122,60834
"http://www.simonsezit.com,https://twitter.com/simonsezit,https://www.facebook.com/SimonSezIT,https://linkedin.com//company/simon-sez-it,https://www.youtube.com/simonsezittraining",https://www.udemy.com/user/simonsezit/,Simon Sez IT,"490,000+ Students | Wordwide Use 180 Countries |150+ Courses",57246,518826
"http://www.templepath.com,https://www.facebook.com/artikai",https://www.udemy.com/user/arronartikai/,Arron Artikai,"Mac Trainer, Music Producer & Life Coach",884,5015
"http://www.businessproductivity.com,https://twitter.com/ulrikahedlund,https://www.facebook.com/businessproductivity,https://linkedin.com/in/ulrikahedlund/,https://www.youtube.com/bizproductivity",https://www.udemy.com/user/businessproductivity/,Ulrika Hedlund,Productivity Coach and Entrepreneur,13525,43425
"http://www.officenewb.com,https://twitter.com/OfficeNewb,https://linkedin.com/in/kylepew,https://www.youtube.com/channel/UCbCHkRl8AGEVmdF369Er7VQ",https://www.udemy.com/user/kyle-pew/,Kyle Pew,Microsoft Certified Trainer,319295,1017034
na,https://www.udemy.com/user/5474c0e802b5b/,na,na,0,0
na,https://www.udemy.com/user/josh-werner/,Learn Tech Plus,Web Development | Adobe | Google | Microsoft | Productivity,37663,1296064
na,https://www.udemy.com/user/intellezy/,na,na,0,0
http://www.infiniteskills.com,https://www.udemy.com/user/infiniteskills/,Infinite Skills,High Quality Training,121182,1264826
"https://macmost.com,https://twitter.com/rosenz,https://www.facebook.com/macmost,https://linkedin.com/in/rosenz,https://www.youtube.com/macmostvideo",https://www.udemy.com/user/gary-rosenzweig/,MacMost & Gary Rosenzweig,"MacMost, WP Tips and Hacks, Computer book author, Developer",7825,45055
"https://twitter.com/sciencebum,https://www.facebook.com/alexmozes,https://linkedin.com/in/alexmozes",https://www.udemy.com/user/alexmozes/,Alex Mozes,Instructor Liaison,11519,43032
"http://getbiggerbrains.com,https://twitter.com/chiptech,https://www.facebook.com/biggerbrains,https://linkedin.com/chipreaves,https://www.youtube.com/user/biggerbrains743",https://www.udemy.com/user/chipreaves/,Chip Reaves,Bigger Brains,20978,96272
"http://365careers.com/,https://twitter.com/365careers,https://www.facebook.com/365careers,https://linkedin.com/in/nedkokrastev/",https://www.udemy.com/user/365careers/,365 Careers,Creating opportunities for Business & Finance students,467330,1582600
"http://www.simonsezit.com,https://twitter.com/simonsezit,https://www.facebook.com/SimonSezIT,https://linkedin.com//company/simon-sez-it,https://www.youtube.com/simonsezittraining",https://www.udemy.com/user/simonsezit/,Simon Sez IT,"490,000+ Students | Wordwide Use 180 Countries |150+ Courses",57246,518826
"http://www.simonsezit.com,https://twitter.com/simonsezit,https://www.facebook.com/SimonSezIT,https://linkedin.com//company/simon-sez-it,https://www.youtube.com/simonsezittraining",https://www.udemy.com/user/simonsezit/,Simon Sez IT,"490,000+ Students | Wordwide Use 180 Countries |150+ Courses",57246,518826
"https://www.nurturetechacademy.in/,https://www.facebook.com/https://www.facebook.com/nurturetechacademy/,https://linkedin.com/https://www.linkedin.com/company/nurture-tech-academy/about/,https://www.youtube.com/https://www.youtube.com/user/NurtureTechAcademy/videos?view_as=subscriber",https://www.udemy.com/user/nurturetechacademy/,Nurture Tech Academy,Microsoft Office Specialist,2034,40116
"http://andrzejpach.com,https://www.youtube.com/c/learnfrommenet",https://www.udemy.com/user/andrzejpach/,Andrew Pach,Engaged and Passionate PowerPoint & After Effects instructor,32837,301544
"http://www.businessproductivity.com,https://twitter.com/ulrikahedlund,https://www.facebook.com/businessproductivity,https://linkedin.com/in/ulrikahedlund/,https://www.youtube.com/bizproductivity",https://www.udemy.com/user/businessproductivity/,Ulrika Hedlund,Productivity Coach and Entrepreneur,13525,43425
"http://www.dataskills.co,https://twitter.com/DataSkillsCo,https://www.facebook.com/DataSkillsCo,https://linkedin.com/in/ianlj",https://www.udemy.com/user/ianlittlejohn2/,Ian Littlejohn,"Excel Power Tools, Power BI and Google Data Studio Trainer",42733,133098
"http://www.dataskills.co,https://twitter.com/DataSkillsCo,https://www.facebook.com/DataSkillsCo,https://linkedin.com/in/ianlj",https://www.udemy.com/user/ianlittlejohn2/,Ian Littlejohn,"Excel Power Tools, Power BI and Google Data Studio Trainer",42733,133098
"https://twitter.com/https://twitter.com/clboykin,https://www.facebook.com/https://www.facebook.com/boykin.christopher,https://linkedin.com/www.linkedin.com/in/christopher-boykin-mpa-0744601a",https://www.udemy.com/user/christopher-boykin-2/,Christopher Boykin,Software Expert,5593,14947
"http://www.officenewb.com,https://twitter.com/OfficeNewb,https://linkedin.com/in/kylepew,https://www.youtube.com/channel/UCbCHkRl8AGEVmdF369Er7VQ",https://www.udemy.com/user/kyle-pew/,Kyle Pew,Microsoft Certified Trainer,319295,1017034
"http://www.simonsezit.com,https://twitter.com/simonsezit,https://www.facebook.com/SimonSezIT,https://linkedin.com//company/simon-sez-it,https://www.youtube.com/simonsezittraining",https://www.udemy.com/user/simonsezit/,Simon Sez IT,"490,000+ Students | Wordwide Use 180 Countries |150+ Courses",57246,518826
na,https://www.udemy.com/user/janedoe5/,Ulrika Garner,"Zertifizierte Beraterin für SAP MM, Hobby: Fotobearbeitung",13153,46654
"http://standout-dev.com,https://twitter.com/CarlosDLG,https://www.facebook.com/Carlos.DLG.gt,https://linkedin.com/in/carlosdlg,https://www.youtube.com/channel/UCqMxW95HWIJL9g5Yx43Nrvg",https://www.udemy.com/user/carlosdeleon/,Carlos from Standout-Dev Academy,Software Development Director & Chief Educator,6528,78196
"https://linkedin.com/https://www.linkedin.com/in/kristaanivory71353611a/,https://www.youtube.com/https://www.youtube.com/channel/UCkEXu_4_LUfi9dabtfKgSnw?",https://www.udemy.com/user/kristaan-ivory/,Kris Ivory,Instructor,771,12533
"https://www.youtube.com/user/1oneskill,https://www.facebook.com/powerpoint1skill,https://www.youtube.com/user/1oneskill",https://www.udemy.com/user/one-skill/,One Skill,Creates Awesome PowerPoint Tutorials,590,1860
na,https://www.udemy.com/user/intellezy/,na,na,0,0
"http://civiltechnology4you.com/,https://twitter.com/mudsirhashmi,https://www.facebook.com/mudassir afraz,https://www.youtube.com/mudassirafraz",https://www.udemy.com/user/mudassir-afraz/,Mudessar Afraz,Planning Engineer,3366,18637
na,https://www.udemy.com/user/intellezy/,na,na,0,0
"http://www.teachack.com,https://twitter.com/DrgStefanescu,https://www.facebook.com/teachack,https://linkedin.com/in/drgstefanescu,https://www.youtube.com//c/TeacHackUdemy?sub_confirmation=1",https://www.udemy.com/user/teachack/,Dragos Stefanescu,"Founder at TeacHack.com |15 Courses & 15,000+ Students",3723,50246
https://www.youtube.com/channel/UCQRKZIhygTNRPTEmbWQ7LXg,https://www.udemy.com/user/jedguinto/,Jed Guinto,"~445,000 Enrolments, ~185,000 Students, ~12,000 Reviews",13016,194092
"http://learngood.in,https://twitter.com/https://twitter.com/Learn_Good,https://www.facebook.com/https://www.facebook.com/learngood.in,https://linkedin.com//in/srikanthsr",https://www.udemy.com/user/srikanth14/,Srikanth Shirodkar,LearnGood.in,19970,88744
"http://www.syncopa.net,https://www.facebook.com/syncopaproductions,https://www.youtube.com/channel/UCvHW0m6de3k7uKrr2GnY1PQ",https://www.udemy.com/user/rafisaar/,Rafi Saar,Owner Syncopa Productions and Software Engineer,6479,23506
"http://www.sanrusha.com,https://twitter.com/sanrushaconsult,https://linkedin.com/in/sanjaysinghpm/,https://www.youtube.com//channel/UCMiNrwcyMl0hHoin6hcLO1w",https://www.udemy.com/user/22cd3e00-a2d5-41c7-8630-2b69452f00ae/,Sanjay Singh,Data and Machine Learning Professional,1969,7192
"http://www.mellontraining.com,https://twitter.com/mellontraining,https://www.facebook.com/mellontraining,https://linkedin.com/in/AndreasExadaktylos,https://www.youtube.com/user/mellontraining",https://www.udemy.com/user/andrewex/,Andreas Exadaktylos,Best Selling Teacher | Msc Computer Scientist,7277,30731
"http://www.businessproductivity.com,https://twitter.com/ulrikahedlund,https://www.facebook.com/businessproductivity,https://linkedin.com/in/ulrikahedlund/,https://www.youtube.com/bizproductivity",https://www.udemy.com/user/businessproductivity/,Ulrika Hedlund,Productivity Coach and Entrepreneur,13525,43425
"http://www.saptraininghq.com,https://twitter.com/petermoxon,https://www.facebook.com/pages/SAP-Training-HQ/253124688062603",https://www.udemy.com/user/petermoxon/,Peter Moxon,Head Trainer at Sap Training HQ,14122,60834
"http://www.dreamforce.us,https://twitter.com/KirtKershaw,https://linkedin.com/in/kirt-kershaw-33874410/,https://www.youtube.com/user/videotrainingpro",https://www.udemy.com/user/kirt-kershaw/,Kirt Kershaw,Microsoft Certified Trainer - Training Microsoft Since 2000!,4213,19606
"http://www.instructing.com,https://twitter.com/JosephPhillips,https://www.facebook.com/PhillipsJDP/,https://linkedin.com/in/srqphillips/,https://www.youtube.com/channel/UCYosOEl1WeS1tvJGgeT3eCA",https://www.udemy.com/user/josephphillips2/,Joseph Phillips,"PMP, PMI-ACP, Project+, ITIL, PSM I, CTT+",162350,507374
"http://digitalegghead.com,https://twitter.com/digital_egghead,https://www.facebook.com/DigitalEgghead,https://linkedin.com/in/joebuchmann,https://www.youtube.com/c/Digitalegghead",https://www.udemy.com/user/joebuchmann/,Joe Buchmann,Business Owner and Professional Designer/Developer,3347,18061
"http://alangjarvis.com,https://twitter.com/@AlanGJarvis,https://linkedin.com/alan-jarvis-75537167,https://www.youtube.com/channel/UCKOmJyACuNEPTiIFGLH1twA",https://www.udemy.com/user/alanjarvis2/,Alan Jarvis,"Everything Is Easy, Once You Know How - 100,000+ Students!",23020,118055
"https://www.erinbooth.com/,https://twitter.com/erinboothva,https://linkedin.com/in/erinfrostbooth/,https://www.youtube.com/erinbooth",https://www.udemy.com/user/erin-booth/,Erin Booth,Virtual Assistant Mentor,3127,25997
"http://www.saptraininghq.com,https://twitter.com/petermoxon,https://www.facebook.com/pages/SAP-Training-HQ/253124688062603",https://www.udemy.com/user/petermoxon/,Peter Moxon,Head Trainer at Sap Training HQ,14122,60834
"http://www.officenewb.com,https://twitter.com/OfficeNewb,https://linkedin.com/in/kylepew,https://www.youtube.com/channel/UCbCHkRl8AGEVmdF369Er7VQ",https://www.udemy.com/user/kyle-pew/,Kyle Pew,Microsoft Certified Trainer,319295,1017034
"https://www.facebook.com/profile.php?id=100007022288702,https://linkedin.com/in/samer-ali-ph-d-02a3182b/,https://www.youtube.com/channel/UCcbluUx6tnI-An33Bjk6qhA",https://www.udemy.com/user/samer-ali-20/,Prof. Samer,Professor of Mechanical Engineering,1246,99058
http://www.parallellearning.in,https://www.udemy.com/user/ioniya/,Parallel Learning,"When you know better, You Do better !!",4883,55345
"https://www.jobreadyprogrammer.com,https://www.youtube.com/https://www.youtube.com/watch?v=bANyZYxJFFg",https://www.udemy.com/user/548b0c1fdecb5/,Waqar Ahmad,Data Scientist,1307,15023
na,https://www.udemy.com/user/planningguru/,"Construction Project Management Guru (PSP, PMI-SP, PMP, Excel Charts, Excel Dashboard, Excel Analytics, Excel Shortcuts",Promoting Professionalism in Planning and Scheduling.,1237,5654
na,https://www.udemy.com/user/janedoe5/,Ulrika Garner,"Zertifizierte Beraterin für SAP MM, Hobby: Fotobearbeitung",13153,46654
https://www.youtube.com/channel/UCQRKZIhygTNRPTEmbWQ7LXg,https://www.udemy.com/user/jedguinto/,Jed Guinto,"~445,000 Enrolments, ~185,000 Students, ~12,000 Reviews",13016,194092
http://www.skillshost.com,https://www.udemy.com/user/548657673a1b6/,Dhruv Bais,Master Programmer and Machine Learning Robot,8425,131393
na,https://www.udemy.com/user/intellezy/,na,na,0,0
